timestamp,close
2026-01-01T00:00:00Z,100.0
2026-01-02T00:00:00Z,100.8
2026-01-03T00:00:00Z,100.4
2026-01-04T00:00:00Z,101.2
2026-01-05T00:00:00Z,102.0
2026-01-06T00:00:00Z,101.7
2026-01-07T00:00:00Z,102.4
2026-01-08T00:00:00Z,103.1
2026-01-09T00:00:00Z,102.6
2026-01-10T00:00:00Z,103.5
2026-01-11T00:00:00Z,104.1
2026-01-12T00:00:00Z,103.8
2026-01-13T00:00:00Z,104.7
2026-01-14T00:00:00Z,105.2
2026-01-15T00:00:00Z,104.9
2026-01-16T00:00:00Z,105.8
2026-01-17T00:00:00Z,106.4
2026-01-18T00:00:00Z,106.0
2026-01-19T00:00:00Z,106.9
2026-01-20T00:00:00Z,107.5
2026-01-21T00:00:00Z,107.1
2026-01-22T00:00:00Z,108.0
2026-01-23T00:00:00Z,108.6
2026-01-24T00:00:00Z,108.2
2026-01-25T00:00:00Z,109.1
